2022-08-18 16:37:39,836 ; DEBUG ; streamer ; init_socket ; WebSocketApp Initiated
2022-08-18 16:39:09,005 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5201, 2022-08-18 16:39:09.005503)
2022-08-18 16:39:09,013 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1345, 2022-08-18 16:39:09.013511)
2022-08-18 16:39:10,133 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5101, 2022-08-18 16:39:10.133694)
2022-08-18 16:39:10,146 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1345, 2022-08-18 16:39:10.146504)
2022-08-18 16:39:11,054 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.51, 2022-08-18 16:39:11.054552)
2022-08-18 16:39:12,078 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.51, 2022-08-18 16:39:12.078100)
2022-08-18 16:39:13,102 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.51, 2022-08-18 16:39:13.102766)
2022-08-18 16:39:14,024 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.47, 2022-08-18 16:39:14.024433)
2022-08-18 16:39:14,054 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1345, 2022-08-18 16:39:14.054384)
2022-08-18 16:39:15,217 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.44, 2022-08-18 16:39:15.217081)
2022-08-18 16:39:16,174 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1345, 2022-08-18 16:39:16.174049)
2022-08-18 16:39:16,181 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.45, 2022-08-18 16:39:16.181188)
2022-08-18 16:39:17,095 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.4003, 2022-08-18 16:39:17.095769)
2022-08-18 16:39:18,121 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.4093, 2022-08-18 16:39:18.121068)
2022-08-18 16:39:18,128 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1345, 2022-08-18 16:39:18.128068)
2022-08-18 16:39:19,246 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.41, 2022-08-18 16:39:19.246568)
2022-08-18 16:39:20,065 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3899, 2022-08-18 16:39:20.065438)
2022-08-18 16:39:20,071 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1345, 2022-08-18 16:39:20.071137)
2022-08-18 16:39:21,191 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3301, 2022-08-18 16:39:21.191658)
2022-08-18 16:39:22,011 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3398, 2022-08-18 16:39:22.011195)
2022-08-18 16:39:22,047 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1345, 2022-08-18 16:39:22.047528)
2022-08-18 16:39:23,035 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.35, 2022-08-18 16:39:23.035071)
2022-08-18 16:39:23,041 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1618, 2022-08-18 16:39:23.041353)
2022-08-18 16:39:24,058 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.32, 2022-08-18 16:39:24.058644)
2022-08-18 16:39:24,068 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1618, 2022-08-18 16:39:24.068513)
2022-08-18 16:39:25,083 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.339, 2022-08-18 16:39:25.082991)
2022-08-18 16:39:26,004 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3488, 2022-08-18 16:39:26.004515)
2022-08-18 16:39:27,028 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.335, 2022-08-18 16:39:27.028852)
2022-08-18 16:39:27,984 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.34, 2022-08-18 16:39:27.984088)
2022-08-18 16:39:28,025 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1804, 2022-08-18 16:39:28.025522)
2022-08-18 16:39:29,031 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.34, 2022-08-18 16:39:29.031348)
2022-08-18 16:39:29,077 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1804, 2022-08-18 16:39:29.076999)
2022-08-18 16:39:31,017 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.34, 2022-08-18 16:39:31.017566)
2022-08-18 16:39:31,113 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1804, 2022-08-18 16:39:31.113787)
2022-08-18 16:39:32,062 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.34, 2022-08-18 16:39:32.062814)
2022-08-18 16:39:32,974 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.34, 2022-08-18 16:39:32.974345)
2022-08-18 16:39:33,983 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.34, 2022-08-18 16:39:33.983692)
2022-08-18 16:39:35,119 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.16, 2022-08-18 16:39:35.119015)
2022-08-18 16:39:35,128 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.27, 2022-08-18 16:39:35.128832)
2022-08-18 16:39:36,039 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.265, 2022-08-18 16:39:36.039916)
2022-08-18 16:39:36,057 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.16, 2022-08-18 16:39:36.057351)
2022-08-18 16:39:37,065 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.27, 2022-08-18 16:39:37.065208)
2022-08-18 16:39:37,075 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.16, 2022-08-18 16:39:37.075409)
2022-08-18 16:39:38,087 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.2997, 2022-08-18 16:39:38.087884)
2022-08-18 16:39:38,095 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.16, 2022-08-18 16:39:38.095719)
2022-08-18 16:39:39,111 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3008, 2022-08-18 16:39:39.111160)
